epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,121,,,,0.6927172541618347,0.7880253195762634,0.46210977435112
0,121,0.4574717879295349,0.6877554059028625,0.3445225656032562,,,
1,243,,,,0.7957121133804321,0.8723637461662292,0.5617603659629822
1,243,0.551393449306488,0.7595728635787964,0.43402740359306335,,,
2,365,,,,0.8104647397994995,0.8960974812507629,0.5792527794837952
2,365,0.5617737770080566,0.7685084939002991,0.4430941045284271,,,
3,487,,,,0.7865416407585144,0.888821542263031,0.5543138384819031
3,487,0.5796812772750854,0.7841940522193909,0.46036261320114136,,,
4,609,,,,0.8172287344932556,0.9026203155517578,0.5856034159660339
4,609,0.5833871364593506,0.7899229526519775,0.46445295214653015,,,
5,731,,,,0.8268002867698669,0.9054403901100159,0.6001543998718262
5,731,0.5924484729766846,0.7956123352050781,0.47769320011138916,,,
6,853,,,,0.8178938031196594,0.9032332301139832,0.5915741324424744
6,853,0.6043677926063538,0.7978525757789612,0.48865315318107605,,,
7,975,,,,0.8446551561355591,0.9107274413108826,0.6203823685646057
7,975,0.6040713787078857,0.791541337966919,0.48811104893684387,,,
8,1097,,,,0.8633857369422913,0.917390763759613,0.6402682662010193
8,1097,0.7332958579063416,0.8038462996482849,0.4951508641242981,,,
9,1219,,,,0.8495047688484192,0.9124159216880798,0.6250731945037842
9,1219,0.7452434301376343,0.8077172636985779,0.5062088966369629,,,
10,1341,,,,0.8578733801841736,0.9154876470565796,0.6353071331977844
10,1341,0.7472518086433411,0.8107055425643921,0.5091540217399597,,,
11,1463,,,,0.8610284328460693,0.919361412525177,0.6387240290641785
11,1463,0.7552346587181091,0.8136416077613831,0.515434741973877,,,
12,1585,,,,0.847256064414978,0.9120554327964783,0.6245629191398621
12,1585,0.7515197992324829,0.8091873526573181,0.5124517679214478,,,
13,1707,,,,0.8512381911277771,0.9151020050048828,0.6292203664779663
13,1707,0.76359623670578,0.8173704147338867,0.5242721438407898,,,
14,1829,,,,0.8554015755653381,0.9145228862762451,0.6329370737075806
14,1829,0.7614556550979614,0.8144407272338867,0.5248273611068726,,,
15,1951,,,,0.8637462854385376,0.9185521006584167,0.6419740915298462
15,1951,0.7710421681404114,0.8159582614898682,0.5332748889923096,,,
16,2073,,,,0.8631884455680847,0.9185612201690674,0.641566812992096
16,2073,0.7747069001197815,0.8222988247871399,0.5363122820854187,,,
17,2195,,,,0.8624088168144226,0.9181535840034485,0.6408345699310303
17,2195,0.7939397096633911,0.8270712494850159,0.5561012029647827,,,
18,2317,,,,0.8627761602401733,0.9187302589416504,0.6421747207641602
18,2317,0.7720500826835632,0.8124611973762512,0.5333545207977295,,,
19,2439,,,,0.8769221305847168,0.9250236749649048,0.6574677228927612
19,2439,0.7763113379478455,0.8235475420951843,0.538247287273407,,,
20,2561,,,,0.8761468529701233,0.9236156344413757,0.6565684676170349
20,2561,0.792502224445343,0.8322664499282837,0.5555157661437988,,,
21,2683,,,,0.8770500421524048,0.9229927659034729,0.657515823841095
21,2683,0.7783045768737793,0.8152695894241333,0.5389528274536133,,,
22,2805,,,,0.8752924203872681,0.9238269925117493,0.6557720303535461
22,2805,0.7765024304389954,0.8077642917633057,0.5360171794891357,,,
23,2927,,,,0.8798811435699463,0.9251315593719482,0.6610117554664612
23,2927,0.7793046832084656,0.8197007179260254,0.539629340171814,,,
24,3049,,,,0.876170814037323,0.923886239528656,0.6565988659858704
24,3049,0.7788975834846497,0.8242571949958801,0.5400877594947815,,,
25,3171,,,,0.8793836236000061,0.9253074526786804,0.6605051159858704
25,3171,0.7818847894668579,0.8244931697845459,0.5432627201080322,,,
26,3293,,,,0.8810650110244751,0.9259129762649536,0.662552535533905
26,3293,0.7860156893730164,0.8286305665969849,0.547817051410675,,,
27,3415,,,,0.882531464099884,0.9263861179351807,0.6642599105834961
27,3415,0.7826223969459534,0.8223224878311157,0.5443856120109558,,,
28,3537,,,,0.8809749484062195,0.9260421991348267,0.6624257564544678
28,3537,0.7816080451011658,0.8235920667648315,0.543419361114502,,,
29,3659,,,,0.8775366544723511,0.924521267414093,0.6581494212150574
29,3659,0.7857611179351807,0.8266083002090454,0.5477224588394165,,,
